队伍,第一局排名,第一局击杀,第一局排名分,第一局击杀分,第一局总分,第一局总分排名,第二局排名,第二局击杀,第二局排名分,第二局击杀分,第二局总分,第二局总分排名,第三局排名,第三局击杀,第三局排名分,第三局击杀分,第三局总分,第三局总分排名,第四局排名,第四局击杀,第四局排名分,第四局击杀分,第四局总分,第四局总分排名,总总分,总总排名
队伍 1,4,4,5,4,9,4,15,0,1,0,1,14,2,0,9,0,9,5,10,0,2,0,2,12,21,8
队伍 2,3,6,7,6,13,3,3,1,7,1,8,5,12,2,1,2,3,9,7,0,3,0,3,11,27,6
队伍 3,14,2,1,2,3,11,17,2,0,2,2,11,7,2,3,2,5,7,19,0,0,0,0,18,10,15
队伍 4,12,0,1,0,1,15,13,0,1,0,1,14,6,1,3,1,4,8,3,2,7,2,9,5,15,13
队伍 5,20,1,0,1,1,15,9,1,2,1,3,10,3,5,7,5,12,4,4,3,5,3,8,7,24,7
队伍 6,8,0,2,0,2,12,4,2,5,2,7,6,11,0,1,0,1,14,16,1,0,1,1,13,11,14
队伍 7,13,1,1,1,2,12,6,4,3,4,7,6,18,0,0,0,0,17,1,16,12,16,28,1,37,4
队伍 8,7,3,3,3,6,6,1,10,12,10,22,1,8,1,2,1,3,9,18,0,0,0,0,18,31,5
队伍 9,6,1,3,1,4,10,14,0,1,0,1,14,20,0,0,0,0,17,13,0,1,0,1,13,6,18
队伍 10,19,1,0,1,1,15,20,0,0,0,0,18,9,1,2,1,3,9,17,1,0,1,1,13,5,19
队伍 11,10,0,2,0,2,12,5,1,4,1,5,9,17,0,0,0,0,17,5,6,4,6,10,4,17,11
队伍 12,2,11,9,11,20,2,7,6,3,6,9,4,1,13,12,13,25,1,2,5,9,5,14,2,68,1
队伍 13,9,3,2,3,5,9,8,9,2,9,11,3,4,15,5,15,20,2,9,7,2,7,9,5,45,3
队伍 14,11,6,1,6,7,5,12,1,1,1,2,11,10,4,2,4,6,6,12,0,1,0,1,13,16,12
队伍 15,17,0,0,0,0,18,16,1,0,1,1,14,14,2,1,2,3,9,11,5,1,5,6,8,10,15
队伍 16,1,13,12,13,25,1,2,13,9,13,22,1,16,0,0,0,0,17,6,8,3,8,11,3,58,2
队伍 17,5,2,4,2,6,6,11,1,1,1,2,11,19,2,0,2,2,13,20,0,0,0,0,18,10,15
队伍 18,16,0,0,0,0,18,18,0,0,0,0,18,5,11,4,11,15,3,14,5,1,5,6,8,21,8
队伍 19,15,5,1,5,6,6,10,5,2,5,7,6,15,0,1,0,1,14,8,2,2,2,4,10,18,10
队伍 20,18,0,0,0,0,18,19,0,0,0,0,18,13,0,1,0,1,14,15,0,1,0,1,13,2,20
